batch,trans_date_trans_time,cc_num,merchant,category,amt,fraud_score
1,2020-08-03 02:34:14,4725837176265195730,fraud_Kassulke PLC,shopping_net,192.01,0.9563
2,2020-11-10 21:30:13,3583793405872580,fraud_Wiza, Schaden and Stark,misc_pos,30.56,0.5412
2,2020-08-07 22:26:33,6595970453799027,fraud_Kuhic LLC,shopping_net,192.01,0.9849
2,2020-12-06 22:15:47,3564182536169293,fraud_Hickle Group,shopping_pos,192.01,0.9867
3,2020-07-19 22:13:25,3534330126107879,fraud_Zboncak, Rowe and Murazik,shopping_net,192.01,0.9432
4,2020-08-08 02:36:09,375082648741747,fraud_Bins, Balistreri and Beatty,shopping_pos,192.01,0.9626
5,2020-09-13 23:42:36,213161293389774,fraud_Heathcote LLC,shopping_net,192.01,0.9731
7,2020-10-26 22:20:54,573283817795,fraud_Dooley-Thompson,misc_net,192.01,0.9849
7,2020-08-09 04:25:12,4826655832045236,fraud_Bogisich Inc,grocery_pos,192.01,0.4388
7,2020-09-28 23:18:30,3567697931646329,fraud_Ankunding LLC,shopping_net,192.01,0.3981
9,2020-10-03 22:05:14,4710826438164847414,fraud_Moore, Dibbert and Koepp,misc_net,192.01,0.9903
9,2020-11-10 22:53:07,4103158249977,fraud_Padberg-Welch,grocery_pos,192.01,0.9912
10,2020-12-01 22:17:33,377834944388609,fraud_Kuhic LLC,shopping_net,192.01,0.9923
11,2020-08-26 13:17:40,583699482621,fraud_Langworth, Boehm and Gulgowski,shopping_net,192.01,0.7384
11,2020-10-05 09:54:51,30011465039817,fraud_Kling Inc,gas_transport,9.85,0.9795
11,2020-12-04 04:36:36,630423337322,fraud_Jenkins, Hauck and Friesen,gas_transport,13.69,0.961
12,2020-10-24 23:03:34,4883407061576,fraud_Pouros-Haag,shopping_pos,192.01,0.9933
13,2020-08-25 22:36:22,4119762878330989,fraud_Donnelly PLC,misc_net,192.01,0.9882
14,2020-10-08 20:42:19,6597248210463122,fraud_Murray-Smitham,grocery_pos,192.01,0.9428
15,2020-08-20 22:56:25,372382441451095,fraud_Stehr, Jewess and Schimmel,misc_net,192.01,0.9896
15,2020-09-16 22:15:30,3530503964418806,fraud_Osinski, Ledner and Leuschke,grocery_pos,192.01,0.9883
15,2020-08-21 00:32:26,375974680629816,fraud_Kiehn Inc,grocery_pos,192.01,0.8882
17,2020-09-14 23:29:50,4586260469584,fraud_Auer-West,shopping_net,192.01,0.9768
19,2020-07-13 02:28:36,676314217768,fraud_Reichel Inc,entertainment,192.01,0.9206
